Question,Option A,Option B,Option C,Option D,Correct Answer
"What is the primary difference between a soft core processor and a hard core processor in FPGAs?","a) Soft core processors are slower","b) Hard core processors are implemented in hardware, while soft core processors are programmable","c) Soft core processors cannot run operating systems","d) Hard core processors are less reliable",b
"Which of the following FPGA manufacturers uses Flash-based technology for some of its devices?","a) Xilinx","b) Intel (Altera)","c) Microsemi (Actel)","d) Lattice Semiconductor",c
"What is the role of interconnection boxes (CB) in FPGA architecture?","a) To connect logic blocks to the routing network","b) To store configuration data","c) To generate clock signals","d) To implement sequential logic",a
"Which of the following is NOT a typical application of FPGAs?","a) Cryptography","b) High-performance computing","c) Mass production of consumer electronics","d) Medical imaging",c
"What is the primary advantage of using a System-on-Chip (SoC) FPGA?","a) It eliminates the need for external memory","b) It integrates both programmable logic and a hard core processor","c) It reduces the size of the FPGA","d) It simplifies the programming process",b
"Which of the following is a disadvantage of FPGAs compared to ASICs?","a) Lower performance","b) Higher unit cost","c) Longer time-to-market","d) Limited reprogrammability",b
"What does RTL stand for in FPGA design?","a) Real-Time Logic","b) Register Transfer Level","c) Reduced Timing Loop","d) Random Trigger Logic",b
"Which of the following is NOT a step in the FPGA design flow?","a) Synthesis","b) Floorplanning","c) Photolithography","d) Placement and Routing",c
"What is the purpose of a testbench in FPGA design?","a) To simulate and verify the functionality of the design","b) To configure the FPGA hardware","c) To program the FPGA via JTAG","d) To optimize power consumption",a
"Which of the following statements about HDL is TRUE?","a) HDL is used to describe software algorithms","b) HDL is used to describe hardware behavior and structure","c) HDL cannot be synthesized into hardware","d) HDL is only used for simulation",b
"What is the primary difference between sequential and combinational logic in FPGA design?","a) Sequential logic depends on clock signals, while combinational logic does not","b) Combinational logic is faster than sequential logic","c) Sequential logic cannot be implemented in FPGAs","d) Combinational logic requires more resources",a
"Which of the following is a rule for coding combinational logic in HDL?","a) The sensitivity list must include all input signals","b) Only the clock signal should be in the sensitivity list","c) All outputs must be assigned asynchronously","d) Reset signals are mandatory",a
"What is the purpose of the reset scheme in FPGA design?","a) To initialize registers to a known state","b) To reduce power consumption","c) To increase clock frequency","d) To simplify the synthesis process",a
"Which of the following is a common method for programming an FPGA?","a) JTAG","b) USB-C","c) HDMI","d) Ethernet",a
"What is the role of the synthesis step in the FPGA design flow?","a) To translate HDL code into a netlist of logical functions","b) To simulate the design","c) To place and route the design","d) To generate the GDSII file",a
"Which of the following is NOT a synthesizable construct in HDL?","a) Wait statement","b) Flip-flop","c) Multiplexer","d) Adder",a
"What does ASIC stand for?","a) Application-Specific Integrated Circuit","b) Advanced Signal Interface Circuit","c) Automated System Integration Chip","d) Adaptive Silicon Interconnect Circuit",a
"Which of the following is a key advantage of ASICs over FPGAs?","a) Faster time-to-market","b) Lower unit cost for mass production","c) Reprogrammability","d) Simpler design tools",b
"What is the primary disadvantage of ASICs compared to FPGAs?","a) Higher power consumption","b) Longer development time","c) Limited performance","d) Lack of specialized hardware blocks",b
"Which of the following is a step unique to the ASIC design flow?","a) Floorplanning","b) Synthesis","c) Place and Route","d) GDSII Generation",d
"What is the primary purpose of DRC/LVS checks in ASIC design?","a) To verify timing constraints","b) To ensure design rules are followed and layout matches the schematic","c) To optimize power consumption","d) To simulate the design",b
"Which of the following is NOT a type of ASIC?","a) Full-Custom ASIC","b) Semi-Custom ASIC","c) Standard-Cell ASIC","d) Programmable ASIC",d
"What is the primary advantage of full-custom ASICs?","a) Faster design time","b) Lower cost","c) Higher performance","d) Easier verification",c
"Which of the following is a disadvantage of full-custom ASICs?","a) Lower performance","b) Higher design complexity and cost","c) Limited flexibility","d) Lack of standard libraries",b
"What is the primary difference between standard-cell ASICs and FPGAs?","a) Standard-cell ASICs are reprogrammable","b) Standard-cell ASICs use pre-designed cells, while FPGAs use programmable logic","c) Standard-cell ASICs are slower","d) Standard-cell ASICs consume more power",b
"Which of the following is a common tool used in the ASIC design flow?","a) Vivado","b) Quartus","c) Cadence Genus","d) Lattice Radiant",c
"What is the primary purpose of TCL scripting in FPGA/ASIC design?","a) To simulate designs","b) To automate design tasks and flows","c) To program the FPGA hardware","d) To generate HDL code",b
"Which of the following is NOT a feature of TCL scripting?","a) Variable substitution","b) Command substitution","c) Object-oriented programming","d) List manipulation",c
"What is the role of the expr command in TCL?","a) To evaluate mathematical expressions","b) To define procedures","c) To manipulate strings","d) To open files",a
"Which of the following is a valid TCL control structure?","a) if...else","b) switch","c) while","d) All of the above",d
"What is the purpose of the proc command in TCL?","a) To define variables","b) To create procedures","c) To read files","d) To write to files",b
"Which of the following is NOT a valid way to read data from a file in TCL?","a) read","b) gets","c) scan","d) write",d
"What is the primary advantage of using semi-custom ASICs over full-custom ASICs?","a) Higher performance","b) Lower design complexity and cost","c) Greater flexibility","d) Smaller die size",b
"Which of the following is a common metric for measuring the size of an ASIC?","a) Gate count","b) Clock frequency","c) Power consumption","d) Number of transistors",a
"What is the primary purpose of floorplanning in ASIC design?","a) To verify timing constraints","b) To optimize placement of blocks on the chip","c) To generate the netlist","d) To simulate the design",b
"Which of the following is NOT a step in the RTL-to-GDSII ASIC flow?","a) Synthesis","b) Place and Route","c) JTAG programming","d) DRC/LVS checks",c
"What was the first integrated circuit flip-flop built with?","a) Three transistors","b) Two transistors","c) Four transistors","d) One transistor",b
"Which year marks the creation of the first integrated circuit by Jack Kilby?","a) 1956","b) 1958","c) 1960","d) 1962",b
"What is the primary reason for the rapid growth of the semiconductor industry?","a) Decreased power consumption","b) Increased transistor count per chip","c) Lower manufacturing costs","d) Improved software tools",b
"What does the term "Kgate" refer to in semiconductor design?","a) 1000 NAND gates","b) 1000 transistors","c) 1000 memory cells","d) 1000 flip-flops",a
"Which process technology is commonly used in modern microprocessors?","a) Bipolar Junction Transistor (BJT)","b) Complementary Metal-Oxide-Semiconductor (CMOS)","c) Gallium Arsenide (GaAs)","d) Silicon-Germanium (SiGe)",b
"What is the purpose of using standard cells in VLSI design?","a) To reduce design time","b) To increase power consumption","c) To simplify testing","d) To improve signal integrity",a
"In a stick diagram, what does the color blue typically represent?","a) Polysilicon","b) Metal 1","c) N-diffusion","d) P-diffusion",a
"What is the primary advantage of using a 2-level metal routing layer?","a) Reduced capacitance","b) Simplified layout","c) Higher speed","d) Lower cost",b
"What causes subthreshold leakage in MOSFETs?","a) High gate voltage","b) Low threshold voltage","c) Short channel effects","d) Both B and C",d
"What is the impact of increasing the channel length in a transistor?","a) Increases Ion","b) Reduces Ioff","c) Increases gate capacitance","d) Reduces mobility",b
"What percentage of energy in nanometer technologies is attributed to leakage?","a) 10%","b) 20%","c) 30%","d) 50%",c
"Which technique is used to reduce dynamic power consumption?","a) Voltage scaling","b) Increasing clock frequency","c) Adding more transistors","d) Using larger memory cells",a
"What is the primary cause of short-circuit power dissipation in CMOS circuits?","a) Overlapping pMOS and nMOS conduction","b) High capacitance","c) Long interconnects","d) High resistance",a
"What is the effect of lowering the supply voltage (VDD) on power consumption?","a) Quadratic reduction in power","b) Linear reduction in power","c) No change in power","d) Exponential increase in power",a
"What is the role of body biasing in reducing leakage current?","a) Increases threshold voltage","b) Decreases threshold voltage","c) Reduces gate capacitance","d) Increases mobility",a
"What causes variability in nanometer-scale transistors?","a) Dopant fluctuations","b) Photolithography errors","c) Thermal noise","d) All of the above",d
"What is the Pelgrom model used for?","a) Predicting delay","b) Modeling variability","c) Estimating power","d) Calculating capacitance",b
"What is the primary challenge of sub-wavelength lithography?","a) Increased power consumption","b) Layout mismatches","c) Longer design time","d) Higher cost",b
"What is the impact of edge roughness in polysilicon gates?","a) Increased leakage","b) Reduced speed","c) Higher variability","d) All of the above",d
"What is the primary cause of crosstalk in interconnects?","a) Capacitive coupling","b) Inductive coupling","c) Resistive losses","d) Both A and B",d
"What is the typical structure of an SRAM cell?","a) 4 transistors","b) 6 transistors","c) 8 transistors","d) 10 transistors",b
"What is the main advantage of DRAM over SRAM?","a) Higher speed","b) Lower power consumption","c) Higher density","d) Simpler design",c
"What is the primary function of a multiplexer in a processor datapath?","a) Data storage","b) Signal selection","c) Clock generation","d) Power management",b
"What is the purpose of a barrel shifter in a processor?","a) Arithmetic operations","b) Logical operations","c) Bitwise shifting","d) Memory access",c
"What is the role of the program counter (PC) in a processor?","a) Stores data","b) Tracks instruction addresses","c) Performs arithmetic","d) Manages interrupts",b
"What is the primary benefit of using FinFETs in modern designs?","a) Reduced leakage","b) Higher speed","c) Lower cost","d) Simpler layout",a
"What is the role of Monte Carlo simulations in circuit design?","a) Timing analysis","b) Variability analysis","c) Power estimation","d) Layout optimization",b
"What is the primary challenge of designing multicore processors?","a) Power distribution","b) Inter-core communication","c) Thermal management","d) All of the above",d
"What is the purpose of clock gating in low-power design?","a) Reduce dynamic power","b) Increase clock frequency","c) Improve timing","d) Reduce leakage",a
"What is the primary advantage of using SOI (Silicon-On-Insulator) technology?","a) Reduced parasitic capacitance","b) Higher mobility","c) Lower leakage","d) All of the above",d
"What is the typical length of a critical path in a 65nm process?","a) 100ps","b) 200ps","c) 300ps","d) 400ps",b
"What is the primary disadvantage of using high-k dielectrics?","a) Increased cost","b) Reduced mobility","c) Higher leakage","d) Larger area",b
"What is the role of repeaters in long interconnects?","a) Reduce delay","b) Increase capacitance","c) Improve signal integrity","d) Both A and C",d
"What is the primary cause of electromigration in interconnects?","a) High current density","b) High temperature","c) Long wire lengths","d) Both A and B",d
"What is the primary advantage of using copper interconnects?","a) Lower resistance","b) Higher capacitance","c) Lower cost","d) Simpler fabrication",a
"What is the primary function of a p-n junction diode?","a) Amplify signals","b) Store charge","c) Allow current to flow in one direction","d) Generate oscillations",c
"What happens when a reverse bias is applied to a p-n junction?","a) The depletion region narrows","b) The depletion region widens","c) Current flows freely","d) The junction becomes conductive",b
"What is the primary mechanism of current flow in a MOSFET channel?","a) Drift current","b) Diffusion current","c) Tunneling current","d) Recombination current",a
"What is the role of the substrate in a MOSFET?","a) To provide mechanical support","b) To act as a heat sink","c) To establish the electrical properties of the device","d) To reduce leakage current",c
"What causes the "body effect" in a MOSFET?","a) Changes in gate voltage","b) Changes in drain voltage","c) Changes in substrate bias","d) Changes in temperature",c
"What is the purpose of using repeaters in long interconnects?","a) Reduce resistance","b) Compensate for RC delay","c) Increase capacitance","d) Improve thermal management",b
"What is the impact of increasing the width of a transistor in a digital circuit?","a) Increases drive current","b) Reduces gate capacitance","c) Decreases switching speed","d) Increases leakage current",a
"What is the primary advantage of using copper interconnects over aluminum?","a) Higher resistivity","b) Lower resistivity","c) Higher melting point","d) Simpler fabrication process",b
"What is the role of decoupling capacitors in VLSI design?","a) Store data","b) Reduce power supply noise","c) Increase clock frequency","d) Act as resistors",b
"What is the primary benefit of dynamic voltage scaling (DVS)?","a) Increase clock frequency","b) Reduce dynamic power consumption","c) Improve signal integrity","d) Simplify layout",b
"What is the impact of reducing the supply voltage (VDD) on delay?","a) Decreases delay","b) Increases delay","c) No impact on delay","d) Eliminates delay",b
"What is the role of clock skew in synchronous circuits?","a) Improve timing accuracy","b) Reduce power consumption","c) Cause timing violations","d) Increase clock frequency",c
"What is the primary goal of power gating in low-power designs?","a) Reduce dynamic power","b) Reduce static power","c) Increase clock frequency","d) Improve signal integrity",b
"What determines the MOSFET operation region (triode vs. saturation)?","a) Gate-source voltage only","b) Drain-source voltage relative to (V_gs - V_th)","c) Substrate doping concentration","d) Oxide thickness",b
"How does fan-out affect propagation delay in digital circuits?","a) Increases delay linearly","b) Reduces delay exponentially","c) Has no impact on delay","d) Only affects power consumption",a
